Week,Team,Player,Score,Position
9,Larry,Brian Thomas Jr. JAC,5,WR1
9,Chuy,Davante Adams LAR,18,WR1
9,Doy,Marvin Harrison Jr. ARI,15,WR1
9,Kenny,Travis Kelce KCC,8,WR1
10,Kenny,Deebo Samuel Sr. WAS,8,WR1
10,Doy,Doy Dahmer NAPA,0,WR1
10,Elaf,Jaxon Smith-Njigba SEA,19,WR1
10,Chuy,Davante Adams LAR,13,WR1
10,Larry,Brian Thomas Jr. JAC,0,WR1
10,Paco,Puka Nacua LAR,14,WR1
11,Elaf,Jaxon Smith-Njigba SEA,11,WR1
11,Chuy,Davante Adams LAR,6,WR1
11,Paco,Puka Nacua LAR,7,WR1
11,Kenny,Travis Kelce KCC,16,WR1
11,Monaf,Ladd McConkey LAC,1,WR1
11,Jay,Drake London ATL,11,WR1
12,Jay,Rome Odunze CHI,5,WR1
12,Larry,Rashid Shaheed NOS,0,WR1
12,Paco,Puka Nacua LAR,9,WR1
12,Kenny,Deebo Samuel Sr. WAS,0,WR1
12,Julio,Emeka Egbuka TBB,3,WR1
12,Greg,Darnell Mooney ATL,17,WR1
13,Greg,Darnell Mooney ATL,2,WR1
13,Doy,Jaylen Waddle MIA,4,WR1
